gene	control	bpa_at_50	bpa_at_5000
ENSMUSG00000024276	3.50320833333333	3.54304166666667	3.49679166666667
ENSMUSG00000104526	6.938	6.88666666666667	7.11583333333333
ENSMUSG00000067199	4.43041666666667	4.15004166666667	4.36104166666667
ENSMUSG00000095675	6.66333333333333	6.60683333333333	6.96516666666667
ENSMUSG00000031145	7.43366666666667	7.35516666666667	7.27033333333333
ENSMUSG00000012640	2.20824074074074	2.20061111111111	2.20548148148148
ENSMUSG00000028062	13.2643333333333	13.3026666666667	13.1221666666667
ENSMUSG00000068566	3.322625	3.39	3.28554166666667
ENSMUSG00000039826	4.96825	5.03220833333333	5.05066666666667
ENSMUSG00000051147	10.2818333333333	10.2461666666667	10.2915
ENSMUSG00000028407	3.72695833333333	3.74983333333333	3.771
ENSMUSG00000026816	9.45616666666667	9.6065	9.55483333333333
ENSMUSG00000028156	3.00274074074074	3.05472222222222	3.01609259259259
ENSMUSG00000110528	7.7065	7.90883333333333	7.74866666666667
ENSMUSG00000041556	2.65990740740741	2.76368518518519	2.74775925925926
ENSMUSG00000042197	1.62055208333333	1.61001041666667	1.62038541666667
ENSMUSG00000038319	6.1835	6.353	6.23533333333333
ENSMUSG00000047037	8.304	8.49783333333333	8.50666666666667
ENSMUSG00000027677	2.64038888888889	2.64857407407407	2.65655555555556
ENSMUSG00000096596	6.66333333333333	6.60683333333333	6.96516666666667
ENSMUSG00000078515	6.13591666666667	5.99929166666667	6.14704166666667
ENSMUSG00000030423	4.64358333333333	4.77741666666667	4.74104166666667
ENSMUSG00000059934	9.302	9.33366666666667	9.36233333333333
ENSMUSG00000031889	9.31966666666667	9.456	9.40166666666667
ENSMUSG00000034211	5.08570833333333	5.07454166666667	5.08695833333333
ENSMUSG00000101188	3.53435185185185	3.52074074074074	3.54348148148148
ENSMUSG00000069266	5.14816666666667	5.27725	5.196625
ENSMUSG00000060093	3.27859259259259	3.35459259259259	3.30196296296296
ENSMUSG00000114078	6.3555	6.24766666666667	6.227
ENSMUSG00000056290	3.145875	3.17770833333333	3.16441666666667
ENSMUSG00000058295	4.30804166666667	4.318875	4.330375
ENSMUSG00000014551	3.381875	3.396125	3.41933333333333
ENSMUSG00000055700	6.72216666666667	6.85716666666667	6.9135
ENSMUSG00000041773	9.083	8.80233333333333	8.90716666666667
ENSMUSG00000026854	4.00133333333333	3.93691666666667	3.9575
ENSMUSG00000019777	6.23083333333333	6.0545	6.145
ENSMUSG00000036896	10.047	10.1458333333333	10.3793333333333
ENSMUSG00000071532	14.3701666666667	14.4885	14.4545
ENSMUSG00000064057	5.75483333333333	5.763	5.76416666666667
ENSMUSG00000022536	11.1775	11.2251666666667	11.2385
ENSMUSG00000035247	2.07519791666667	2.02359375	2.03561458333333
ENSMUSG00000030801	11.3876666666667	11.5418333333333	11.3881666666667
ENSMUSG00000046908	7.32333333333333	7.2515	7.372
ENSMUSG00000036110	10.8845	10.6345	10.5396666666667
ENSMUSG00000022009	4.46391666666667	4.44745833333333	4.5345
ENSMUSG00000015001	6.146	6.06666666666667	6.07883333333333
ENSMUSG00000083708	4.615875	4.60741666666667	4.65370833333333
ENSMUSG00000033313	7.6285	7.602	7.56966666666667
ENSMUSG00000022204	12.2808333333333	12.2503333333333	12.1328333333333
ENSMUSG00000051403	5.112875	5.07216666666667	5.16741666666667
ENSMUSG00000041124	10.3435	10.5953333333333	10.419
ENSMUSG00000022186	2.4352037037037	2.43368518518519	2.46848148148148
ENSMUSG00000007827	1.92034375	1.89294791666667	1.87270833333333
ENSMUSG00000039308	4.790875	4.812625	4.799375
ENSMUSG00000029465	5.31945833333333	5.306	5.22933333333333
ENSMUSG00000073898	5.777	5.733	5.7305
ENSMUSG00000031402	10.52	10.3548333333333	10.4356666666667
ENSMUSG00000009630	10.2451666666667	10.1948333333333	10.1368333333333
ENSMUSG00000039740	8.54466666666667	8.603	8.34316666666667
ENSMUSG00000039623	2.73916666666667	2.70974074074074	2.75348148148148
ENSMUSG00000026193	2.71101041666667	2.67239583333333	2.72779166666667
ENSMUSG00000037712	6.20045833333333	6.05820833333333	6.22108333333333
ENSMUSG00000019857	4.14833333333333	4.14958333333333	4.14095833333333
ENSMUSG00000058407	2.90846296296296	2.927	2.88485185185185
ENSMUSG00000046761	9.96266666666667	9.95316666666667	10.1228333333333
ENSMUSG00000015994	8.16133333333333	8.04783333333333	8.20166666666667
ENSMUSG00000026788	4.34441666666667	4.296625	4.38379166666667
ENSMUSG00000056612	5.32358333333333	5.36833333333333	5.378125
ENSMUSG00000031502	2.51598148148148	2.59322222222222	2.53909259259259
ENSMUSG00000036856	6.008	6.17416666666667	5.96116666666667
ENSMUSG00000094686	6.66333333333333	6.60683333333333	6.96516666666667
ENSMUSG00000016833	5.175125	5.23458333333333	5.29825
ENSMUSG00000082217	9.8005	9.824	9.836
ENSMUSG00000046364	2.76057407407407	2.74027777777778	2.73418518518519
ENSMUSG00000082634	14.9938333333333	15.0755	14.9521666666667
ENSMUSG00000048100	10.0373333333333	9.98266666666667	9.954
ENSMUSG00000082244	11.5278333333333	11.6231666666667	11.6508333333333
ENSMUSG00000107932	6.9235	6.94283333333333	6.94266666666667
ENSMUSG00000071551	6.57145833333333	6.557	6.50429166666667
ENSMUSG00000028608	4.4945	4.58595833333333	4.529875
ENSMUSG00000031227	6.44566666666667	6.56816666666667	6.42566666666667
ENSMUSG00000032988	5.9675	5.897	5.86
ENSMUSG00000035125	3.307375	3.25154166666667	3.2915
ENSMUSG00000022110	5.90633333333333	5.95241666666667	5.90008333333333
ENSMUSG00000000326	15.9095	15.9936666666667	15.7593333333333
ENSMUSG00000062997	13.9825	13.8285	13.7666666666667
ENSMUSG00000031256	3.37841666666667	3.42620833333333	3.3485
ENSMUSG00000020460	14.3766666666667	14.3055	14.422
ENSMUSG00000021969	2.56487037037037	2.52018518518519	2.50114814814815
ENSMUSG00000040616	10.6731666666667	11.4191666666667	11.0736666666667
ENSMUSG00000049493	7.828	7.84866666666667	8.55416666666667
ENSMUSG00000027674	5.75216666666667	5.7855	5.77433333333333
ENSMUSG00000040177	1.61167708333333	1.61860416666667	1.60951041666667
ENSMUSG00000027883	4.67416666666667	4.71229166666667	4.728875
ENSMUSG00000080998	14.3701666666667	14.4885	14.4545
ENSMUSG00000031065	4.28691666666667	4.28833333333333	4.27758333333333
ENSMUSG00000039842	3.1385	3.1325	3.10108333333333
ENSMUSG00000023873	7.50783333333333	7.122	7.21566666666667
ENSMUSG00000032314	13.87	13.7078333333333	13.6906666666667
ENSMUSG00000038891	6.27783333333333	6.14216666666667	6.29633333333333
ENSMUSG00000016619	2.75625925925926	2.81094444444444	2.7857037037037
ENSMUSG00000014867	6.4305	6.46641666666667	6.43295833333333
ENSMUSG00000020456	4.78725	4.71433333333333	4.694125
ENSMUSG00000091509	4.18075	4.21233333333333	4.24516666666667
ENSMUSG00000034485	3.39004166666667	3.46058333333333	3.50229166666667
ENSMUSG00000078126	14.3701666666667	14.4885	14.4545
ENSMUSG00000039910	2.85655555555556	2.82564814814815	2.86885185185185
ENSMUSG00000022119	1.92733333333333	1.94715625	1.9558125
ENSMUSG00000037808	3.76	3.76183333333333	3.73025
ENSMUSG00000040829	8.60533333333333	8.711	8.8775
ENSMUSG00000062563	9.17616666666667	8.86183333333333	8.96083333333333
ENSMUSG00000115388	3.32441666666667	3.32666666666667	3.42329166666667
ENSMUSG00000021335	7.40333333333333	7.4845	7.56066666666667
ENSMUSG00000044361	7.51983333333333	7.43233333333333	7.70783333333333
ENSMUSG00000078853	11.863	12.116	12.4238333333333
ENSMUSG00000033781	2.96090740740741	2.94724074074074	2.92446296296296
ENSMUSG00000061477	14.9938333333333	15.0755	14.9521666666667
ENSMUSG00000022556	4.085	4.06908333333333	4.05241666666667
ENSMUSG00000043587	9.05416666666667	9.10883333333333	9.20966666666667
ENSMUSG00000030850	1.79123958333333	1.77191666666667	1.75026041666667
ENSMUSG00000083373	11.7515	12.0908333333333	11.9701666666667
ENSMUSG00000036686	8.6685	8.7355	8.71583333333333
ENSMUSG00000030029	10.4821666666667	10.4791666666667	10.2435
ENSMUSG00000004626	7.86983333333333	7.78766666666667	7.91183333333333
ENSMUSG00000004018	8.32116666666667	8.52933333333333	8.526
ENSMUSG00000031812	6.235	6.16566666666667	6.198625
ENSMUSG00000021686	11.7048333333333	11.7446666666667	11.7541666666667
ENSMUSG00000025034	4.1825	4.12	4.15645833333333
ENSMUSG00000017478	9.8055	10.0165	9.98166666666667
ENSMUSG00000040331	11.8651666666667	11.7921666666667	11.8635
ENSMUSG00000025035	9.48916666666667	9.44133333333333	9.5155
ENSMUSG00000074166	7.82283333333333	8.32066666666667	8.22466666666667
ENSMUSG00000060724	6.21316666666667	6.34266666666667	6.39633333333333
ENSMUSG00000061887	4.683	4.63354166666667	4.76604166666667
ENSMUSG00000022414	9.43516666666667	9.54483333333333	9.648
ENSMUSG00000029752	7.93683333333333	7.79883333333333	8.13516666666667
ENSMUSG00000032009	10.3535	10.4158333333333	10.1643333333333
ENSMUSG00000049482	8.75566666666667	8.96816666666667	8.85766666666667
ENSMUSG00000020143	5.71966666666667	5.72716666666667	5.86566666666667
ENSMUSG00000006585	8.45066666666667	8.36716666666667	8.586
ENSMUSG00000063556	14.3701666666667	14.4885	14.4545
ENSMUSG00000007880	10.3756666666667	10.2988333333333	10.3651666666667
ENSMUSG00000036461	3.56195833333333	3.57654166666667	3.60041666666667
ENSMUSG00000022674	1.87886458333333	1.81132291666667	1.81110416666667
ENSMUSG00000026784	3.53433333333333	3.57141666666667	3.54875
ENSMUSG00000037851	4.75625	4.850875	4.73404166666667
ENSMUSG00000021820	9.45466666666667	9.54783333333333	9.52383333333333
ENSMUSG00000051855	7.73533333333333	7.562	7.207
ENSMUSG00000106836	8.81866666666667	8.71816666666667	8.7495
ENSMUSG00000023505	3.29720833333333	3.27145833333333	3.18158333333333
ENSMUSG00000030470	11.2758333333333	10.6586666666667	11.2263333333333
ENSMUSG00000000743	5.60741666666667	5.61070833333333	5.62625
ENSMUSG00000067206	6.07383333333333	5.84566666666667	6.088
ENSMUSG00000042644	7.65216666666667	7.6945	7.97666666666667
ENSMUSG00000031089	5.8905	5.84966666666667	5.86833333333333
ENSMUSG00000096740	10.0213333333333	10.1986666666667	9.98233333333333
ENSMUSG00000116347	10.0213333333333	10.1986666666667	9.98233333333333
